category,units_sold,orders,customers,distinct_products,distinct_sellers,gross_revenue,item_revenue,freight_cost,avg_unit_price,revenue_per_order,freight_pct_of_revenue,avg_review_score,avg_days_to_deliver,late_delivery_rate_pct,revenue_rank,pct_of_total_revenue,cumulative_revenue_pct
health_beauty,9634,8800,8644,2430,489,1437665.78,1255695.13,181970.65,130.34,163.37,12.66,4.12,11.91,7.58,1,9.14,9.14
watches_gifts,5970,5604,5528,1322,98,1298292.47,1198185.21,100107.26,200.7,231.67,7.71,4.0,12.59,7.2,2,8.25,17.39
bed_bath_table,11097,9399,9127,3022,195,1240386.13,1035964.06,204422.07,93.36,131.97,16.48,3.87,12.75,7.03,3,7.88,25.27
sports_leisure,8590,7673,7471,2850,477,1147244.63,979740.92,167503.71,114.06,149.52,14.6,4.09,12.08,6.31,4,7.29,32.56
computers_accessories,7781,6654,6522,1630,285,1050941.58,904322.02,146619.56,116.22,157.94,13.95,3.92,13.15,6.49,5,6.68,39.24
furniture_decor,8298,6425,6294,2641,366,899626.04,727465.05,172160.99,87.67,140.02,19.14,3.89,12.84,7.03,6,5.72,44.96
housewares,6915,5847,5784,2314,463,772035.14,626825.8,145209.34,90.65,132.04,18.81,4.04,10.87,5.0,7,4.91,49.86
cool_stuff,3779,3616,3600,783,263,704086.24,620770.49,83315.75,164.27,194.71,11.83,4.13,12.31,5.84,8,4.47,54.34
auto,4204,3872,3829,1882,374,678606.64,586585.73,92020.91,139.53,175.26,13.56,4.04,12.16,7.03,9,4.31,58.65
garden_tools,4328,3505,3476,748,235,579525.2,481009.94,98515.26,111.14,165.34,17.0,4.03,13.66,6.56,10,3.68,62.33
toys,4083,3855,3814,1396,249,556783.29,479808.54,76974.75,117.51,144.43,13.82,4.14,11.63,6.35,11,3.54,65.87
baby,3043,2868,2841,906,242,478320.0,410312.2,68007.8,134.84,166.78,14.22,3.99,12.45,7.68,12,3.04,68.91
perfumery,3402,3146,3109,865,174,450580.47,396599.31,53981.16,116.58,143.22,11.98,4.16,11.7,6.5,13,2.86,71.77
telephony,4527,4183,4137,1127,146,393306.02,322342.64,70963.38,71.2,94.02,18.04,3.93,12.8,6.95,14,2.5,74.27
office_furniture,1690,1272,1263,309,34,342073.02,273580.7,68492.32,161.88,268.93,20.02,3.48,20.79,7.97,15,2.17,76.45
stationery,2505,2299,2284,844,173,276152.18,229593.84,46558.34,91.65,120.12,16.86,4.18,12.67,6.77,16,1.75,78.2
pet_shop,1942,1706,1685,717,135,253176.96,213766.63,39410.33,110.08,148.4,15.57,4.18,11.17,4.94,17,1.61,79.81
computers,203,181,179,30,9,232799.43,222963.13,9836.3,1098.34,1286.18,4.23,4.14,13.44,5.03,18,1.48,81.29
uncategorised,1589,1437,1431,600,256,206524.29,178572.55,27951.74,112.38,143.72,13.53,3.82,12.74,7.48,19,1.31,82.6
musical_instruments,669,620,616,284,68,206021.32,187788.44,18232.88,280.7,332.29,8.85,4.14,12.93,7.37,20,1.31,83.91
small_appliances,671,622,619,226,101,203731.5,187907.26,15824.24,280.04,327.54,7.77,4.12,10.74,4.56,21,1.29,85.21
electronics,2755,2543,2533,513,146,203416.77,157079.54,46337.23,57.02,79.99,22.78,4.02,12.81,7.59,22,1.29,86.5
fashion_bags_accessories,2025,1858,1792,846,99,182934.76,151622.75,31312.01,74.88,98.46,17.12,4.13,11.04,5.29,23,1.16,87.66
consoles_games,1127,1054,1050,315,81,174639.6,154927.27,19712.33,137.47,165.69,11.29,4.0,13.54,5.88,24,1.11,88.77
luggage_accessories,1088,1030,1024,348,73,170504.09,140111.38,30392.71,128.78,165.54,17.83,4.31,10.62,4.18,25,1.08,89.86
construction_tools_construction,927,746,742,400,127,165179.69,144550.19,20629.5,155.93,221.42,12.49,4.04,10.64,6.33,26,1.05,90.91
home_appliances_2,235,231,226,90,46,121055.52,110649.74,10405.78,470.85,524.05,8.6,4.13,13.86,6.06,27,0.77,91.68
home_construction,603,489,488,225,68,96833.62,83010.12,13823.5,137.66,198.02,14.28,3.93,13.15,5.87,28,0.62,92.29
home_appliances,769,762,701,369,48,94771.3,80001.24,14770.06,104.03,124.37,15.58,4.16,11.22,4.51,29,0.6,92.89
furniture_living_room,501,420,413,155,55,86557.3,68638.56,17918.74,137.0,206.09,20.7,3.88,13.78,7.07,30,0.55,93.44
agro_industry_and_commerce,212,182,181,74,34,78374.07,72530.47,5843.6,342.12,430.63,7.46,4.0,11.58,3.4,31,0.5,93.94
home_confort,434,397,396,111,20,67073.27,58572.04,8501.23,134.96,168.95,12.67,3.83,13.46,9.32,32,0.43,94.37
fixed_telephony,261,214,214,114,49,62414.05,57824.21,4589.84,221.55,291.65,7.35,3.67,12.67,3.92,33,0.4,94.76
air_conditioning,295,251,249,124,52,61436.57,54723.16,6713.41,185.5,244.77,10.93,3.92,12.19,3.81,34,0.39,95.15
kitchen_dining_laundry_garden_furniture,279,246,245,93,51,57905.76,46070.37,11835.39,165.13,235.39,20.44,3.95,11.8,4.38,35,0.37,95.52
audio,363,349,348,58,36,56371.26,50668.6,5702.66,139.58,161.52,10.12,3.82,13.27,11.6,36,0.36,95.88
books_general_interest,546,505,499,211,53,54658.69,45622.29,9036.4,83.56,108.24,16.53,4.44,11.55,6.15,37,0.35,96.23
small_appliances_home_oven_and_coffee,76,75,75,31,15,50193.57,47445.71,2747.86,624.29,669.25,5.47,4.3,9.79,5.48,38,0.32,96.55
industry_commerce_and_business,268,235,233,68,29,47554.29,39669.61,7884.68,148.02,202.36,16.58,4.07,10.65,6.42,39,0.3,96.85
construction_tools_lights,302,243,243,77,36,47511.18,40002.0,7509.18,132.46,195.52,15.81,3.97,9.67,7.31,40,0.3,97.15
construction_tools_safety,189,165,164,89,34,43420.59,39589.02,3831.57,209.47,263.16,8.82,3.83,11.86,2.73,41,0.28,97.43
food,509,449,444,81,58,36496.78,29243.51,7253.27,57.45,81.28,19.87,4.15,9.5,7.01,42,0.23,97.66
market_place,310,279,278,103,59,33694.53,28288.47,5406.06,91.25,120.77,16.04,4.0,12.12,3.61,43,0.21,97.87
costruction_tools_garden,234,192,189,87,32,30781.89,25552.18,5229.71,109.2,160.32,16.99,4.05,11.84,5.6,44,0.2,98.07
fashion_shoes,260,238,236,171,13,28248.41,23352.88,4895.53,89.82,118.69,17.33,4.19,15.4,4.28,45,0.18,98.25
art,208,201,201,54,35,28196.21,24167.64,4028.57,116.19,140.28,14.29,3.92,11.3,6.09,46,0.18,98.43
drinks,378,296,291,81,36,28100.75,22378.71,5722.04,59.2,94.93,20.36,3.99,10.34,4.43,47,0.18,98.61
signaling_and_security,199,140,139,93,46,28017.05,21509.23,6507.82,108.09,200.12,23.23,4.07,10.43,4.06,48,0.18,98.78
furniture_bedroom,109,95,91,45,23,24661.01,20028.78,4632.23,183.75,259.59,18.78,4.12,13.17,6.8,49,0.16,98.94
books_technical,267,260,259,123,26,23379.12,19096.06,4283.06,71.52,89.92,18.32,4.33,10.58,7.98,50,0.15,99.09
food_drink,276,225,223,102,33,19608.1,15119.48,4488.62,54.78,87.15,22.89,4.3,10.81,4.09,51,0.12,99.21
costruction_tools_tools,103,97,97,39,24,17934.17,15903.95,2030.22,154.41,184.89,11.32,4.36,12.07,5.83,52,0.11,99.33
fashion_male_clothing,131,111,109,94,13,12893.45,10748.82,2144.63,82.05,116.16,16.63,3.62,12.9,5.6,53,0.08,99.41
christmas_supplies,152,127,127,64,17,12009.19,8787.83,3221.36,57.81,94.56,26.82,3.91,15.67,10.0,54,0.08,99.49
fashion_underwear_beach,131,121,121,53,9,11457.74,9541.55,1916.19,72.84,94.69,16.72,3.95,13.61,9.45,55,0.07,99.56
tablets_printing_image,83,79,79,9,6,8754.61,7528.41,1226.2,90.7,110.82,14.01,4.05,12.96,6.02,56,0.06,99.61
cine_photo,72,65,65,28,14,8189.66,6933.46,1256.2,96.3,125.99,15.34,4.19,10.5,5.71,57,0.05,99.67
music,38,38,38,27,19,6724.86,6034.35,690.51,158.8,176.97,10.27,4.21,11.55,5.26,58,0.04,99.71
furniture_mattress_and_upholstery,38,38,38,10,5,5998.54,4368.08,1630.46,114.95,157.86,27.18,3.82,14.41,13.51,59,0.04,99.75
dvds_blu_ray,62,57,56,47,10,5804.37,4559.49,1244.88,73.54,101.83,21.45,4.03,12.85,6.56,60,0.04,99.78
books_imported,60,53,52,31,7,5409.7,4639.85,769.85,77.33,102.07,14.23,4.4,7.96,3.51,61,0.03,99.82
party_supplies,43,39,39,26,12,5313.15,4485.18,827.97,104.31,136.23,15.58,3.77,9.14,0.0,62,0.03,99.85
portateis_cozinha_e_preparadores_de_alimentos,14,13,13,9,5,4228.05,3933.63,294.42,280.97,325.23,6.96,3.27,7.93,7.14,63,0.03,99.88
fashio_female_clothing,48,39,39,27,11,3425.39,2803.64,621.75,58.41,87.83,18.15,3.75,11.98,6.67,64,0.02,99.9
fashion_sport,30,27,27,19,10,2697.64,2119.51,578.13,70.65,99.91,21.43,4.23,11.79,3.45,65,0.02,99.92
la_cuisine,14,13,13,10,2,2388.54,2054.99,333.55,146.79,183.73,13.96,3.79,7.64,0.0,66,0.02,99.93
arts_and_craftmanship,24,23,21,19,13,2184.14,1814.01,370.13,75.58,94.96,16.95,4.13,5.67,4.17,67,0.01,99.95
diapers_and_hygiene,38,26,25,11,7,2101.25,1538.79,562.46,40.49,80.82,26.77,3.26,10.65,0.0,68,0.01,99.96
flowers,33,29,29,14,3,1598.91,1110.04,488.87,33.64,55.13,30.58,4.21,11.12,3.03,69,0.01,99.97
pc_gamer,8,7,7,2,2,1430.1,1306.95,123.15,163.37,204.3,8.61,3.33,9.5,0.0,70,0.01,99.98
home_comfort_2,30,24,23,5,4,1170.58,760.27,410.31,25.34,48.77,35.05,3.37,14.53,13.33,71,0.01,99.99
