cohort_month,cohort_label,months_since_first_order,cohort_customers,active_customers,orders,revenue,retention_pct,revenue_per_cohort_customer,revenue_per_active_customer
2016-09-01,2016-09,0,2,2,2,279.69,100.0,139.85,139.85
2016-10-01,2016-10,0,290,290,293,51354.52,100.0,177.08,177.08
2016-10-01,2016-10,6,290,1,1,111.3,0.34,0.38,111.3
2016-10-01,2016-10,9,290,1,1,356.13,0.34,1.23,356.13
2016-10-01,2016-10,11,290,1,1,56.78,0.34,0.2,56.78
2016-10-01,2016-10,13,290,1,1,163.53,0.34,0.56,163.53
2016-10-01,2016-10,15,290,1,1,381.0,0.34,1.31,381.0
2016-10-01,2016-10,17,290,1,1,116.57,0.34,0.4,116.57
2016-10-01,2016-10,19,290,2,2,384.01,0.69,1.32,192.01
2016-10-01,2016-10,20,290,2,2,181.37,0.69,0.63,90.69
2016-12-01,2016-12,0,1,1,1,19.62,100.0,19.62,19.62
2016-12-01,2016-12,1,1,1,1,19.62,100.0,19.62,19.62
2017-01-01,2017-01,0,752,752,786,136923.84,100.0,182.08,182.08
2017-01-01,2017-01,1,752,3,3,170.83,0.4,0.23,56.94
2017-01-01,2017-01,2,752,2,2,114.7,0.27,0.15,57.35
2017-01-01,2017-01,3,752,1,1,89.7,0.13,0.12,89.7
2017-01-01,2017-01,4,752,3,3,246.25,0.4,0.33,82.08
2017-01-01,2017-01,5,752,1,1,69.33,0.13,0.09,69.33
2017-01-01,2017-01,6,752,3,3,448.43,0.4,0.6,149.48
2017-01-01,2017-01,7,752,1,1,105.17,0.13,0.14,105.17
2017-01-01,2017-01,8,752,1,1,47.05,0.13,0.06,47.05
2017-01-01,2017-01,10,752,3,3,427.05,0.4,0.57,142.35
2017-01-01,2017-01,11,752,1,1,66.6,0.13,0.09,66.6
2017-01-01,2017-01,12,752,5,5,552.45,0.66,0.73,110.49
2017-01-01,2017-01,13,752,3,3,351.65,0.4,0.47,117.22
2017-01-01,2017-01,14,752,1,1,93.7,0.13,0.12,93.7
2017-01-01,2017-01,15,752,1,1,104.61,0.13,0.14,104.61
2017-01-01,2017-01,16,752,2,2,219.35,0.27,0.29,109.68
2017-01-01,2017-01,17,752,3,3,354.43,0.4,0.47,118.14
2017-01-01,2017-01,19,752,1,1,50.93,0.13,0.07,50.93
2017-02-01,2017-02,0,1690,1690,1715,283390.86,100.0,167.69,167.69
2017-02-01,2017-02,1,1690,4,4,536.12,0.24,0.32,134.03
2017-02-01,2017-02,2,1690,5,5,570.63,0.3,0.34,114.13
2017-02-01,2017-02,3,1690,2,2,118.73,0.12,0.07,59.37
2017-02-01,2017-02,4,1690,7,7,1151.96,0.41,0.68,164.57
2017-02-01,2017-02,5,1690,2,2,74.21,0.12,0.04,37.11
2017-02-01,2017-02,6,1690,4,4,688.92,0.24,0.41,172.23
2017-02-01,2017-02,7,1690,3,3,274.3,0.18,0.16,91.43
2017-02-01,2017-02,8,1690,2,2,464.61,0.12,0.27,232.31
2017-02-01,2017-02,9,1690,3,3,385.35,0.18,0.23,128.45
2017-02-01,2017-02,10,1690,2,2,343.22,0.12,0.2,171.61
2017-02-01,2017-02,11,1690,5,5,454.39,0.3,0.27,90.88
2017-02-01,2017-02,12,1690,2,2,279.24,0.12,0.17,139.62
2017-02-01,2017-02,13,1690,3,3,397.11,0.18,0.23,132.37
2017-02-01,2017-02,14,1690,2,2,181.66,0.12,0.11,90.83
2017-02-01,2017-02,15,1690,1,1,136.79,0.06,0.08,136.79
2017-02-01,2017-02,16,1690,1,1,291.68,0.06,0.17,291.68
2017-02-01,2017-02,17,1690,4,5,536.16,0.24,0.32,134.04
2017-03-01,2017-03,0,2571,2571,2611,424967.14,100.0,165.29,165.29
2017-03-01,2017-03,1,2571,13,14,1794.97,0.51,0.7,138.07
2017-03-01,2017-03,2,2571,9,9,1737.12,0.35,0.68,193.01
2017-03-01,2017-03,3,2571,10,12,1836.1,0.39,0.71,183.61
2017-03-01,2017-03,4,2571,9,9,1213.97,0.35,0.47,134.89
2017-03-01,2017-03,5,2571,4,4,1433.39,0.16,0.56,358.35
2017-03-01,2017-03,6,2571,4,4,689.18,0.16,0.27,172.3
2017-03-01,2017-03,7,2571,8,8,887.42,0.31,0.35,110.93
2017-03-01,2017-03,8,2571,9,9,1447.49,0.35,0.56,160.83
2017-03-01,2017-03,9,2571,2,2,237.96,0.08,0.09,118.98
2017-03-01,2017-03,10,2571,10,10,1103.1,0.39,0.43,110.31
2017-03-01,2017-03,11,2571,3,3,380.3,0.12,0.15,126.77
2017-03-01,2017-03,12,2571,6,6,947.71,0.23,0.37,157.95
2017-03-01,2017-03,13,2571,3,3,238.58,0.12,0.09,79.53
2017-03-01,2017-03,14,2571,4,4,687.41,0.16,0.27,171.85
2017-03-01,2017-03,15,2571,6,6,717.55,0.23,0.28,119.59
2017-03-01,2017-03,16,2571,2,2,203.88,0.08,0.08,101.94
2017-03-01,2017-03,17,2571,4,4,472.85,0.16,0.18,118.21
2017-04-01,2017-04,0,2325,2325,2356,403282.01,100.0,173.45,173.45
2017-04-01,2017-04,1,2325,14,15,2937.0,0.6,1.26,209.79
2017-04-01,2017-04,2,2325,5,6,940.4,0.22,0.4,188.08
2017-04-01,2017-04,3,2325,4,5,758.21,0.17,0.33,189.55
2017-04-01,2017-04,4,2325,7,7,1388.64,0.3,0.6,198.38
2017-04-01,2017-04,5,2325,6,6,1208.34,0.26,0.52,201.39
2017-04-01,2017-04,6,2325,8,9,2083.8,0.34,0.9,260.48
2017-04-01,2017-04,7,2325,7,7,1096.55,0.3,0.47,156.65
2017-04-01,2017-04,8,2325,7,7,963.99,0.3,0.41,137.71
2017-04-01,2017-04,9,2325,4,4,499.82,0.17,0.21,124.96
2017-04-01,2017-04,10,2325,6,6,692.56,0.26,0.3,115.43
2017-04-01,2017-04,11,2325,2,2,343.17,0.09,0.15,171.59
2017-04-01,2017-04,12,2325,2,2,488.66,0.09,0.21,244.33
2017-04-01,2017-04,13,2325,1,1,271.64,0.04,0.12,271.64
2017-04-01,2017-04,14,2325,2,2,301.83,0.09,0.13,150.92
