region,year_label,orders,valid_orders,customers,revenue,freight_revenue,units,avg_review_score,avg_days_to_deliver,late_delivery_pct
ALL,2016,329,296,326,51653.83,6927.77,348.0,3.49,19.69,1.1
ALL,2017,45101,44375,43713,7090569.24,982076.97,50617.0,4.07,12.98,5.65
ALL,2018,54011,53531,52749,8593303.96,1252121.55,61136.0,4.07,12.06,7.73
ALL,ALL,99441,98202,96096,15735527.03,2241126.29,112101.0,4.07,12.5,6.77
Central-West,2016,18,16,18,2857.41,501.46,19.0,3.5,17.5,0.0
Central-West,2017,2592,2555,2511,466007.9,65226.8,2972.0,4.05,15.39,4.74
Central-West,2018,3167,3152,3088,544093.85,86004.32,3595.0,4.06,14.58,7.93
Central-West,ALL,5777,5723,5590,1012959.16,151732.58,6586.0,4.06,14.95,6.5
North,2016,6,6,6,1488.34,288.15,9.0,3.67,23.8,0.0
North,2017,956,946,927,204505.65,36368.91,1058.0,4.05,21.49,5.08
North,2018,890,883,878,203888.65,39292.4,994.0,3.83,23.64,12.36
North,ALL,1852,1835,1794,409882.64,75949.46,2061.0,3.94,22.54,8.57
Northeast,2016,34,33,34,7310.45,1297.13,39.0,4.09,25.69,0.0
Northeast,2017,4530,4472,4405,877983.85,150455.42,5022.0,3.89,20.44,10.96
Northeast,2018,4831,4801,4737,987323.89,182626.05,5317.0,3.86,19.44,14.43
Northeast,ALL,9395,9306,9133,1872618.19,334378.6,10378.0,3.88,19.94,12.71
South,2016,56,51,56,8651.27,1195.38,64.0,3.59,18.13,0.0
South,2017,6648,6552,6450,1030894.79,149142.09,7469.0,4.11,14.3,5.02
South,2018,7442,7394,7281,1238682.78,191047.12,8555.0,4.14,13.68,6.71
South,ALL,14146,13997,13686,2278228.84,341384.59,16088.0,4.12,13.98,5.9
Southeast,2016,215,190,212,31346.36,3645.65,217.0,3.37,19.18,1.69
Southeast,2017,30375,29850,29420,4511177.05,580883.75,34096.0,4.09,11.1,5.09
Southeast,2018,37681,37301,36765,5619314.79,753151.66,42675.0,4.1,10.32,6.95
Southeast,ALL,68271,67341,65893,10161838.2,1337681.06,76988.0,4.09,10.69,6.12
