month_start_date,year_month,region,delivery_speed_bucket,bucket_order,orders,revenue,avg_review_score,detractor_orders,promoter_orders,detractor_rate_pct,avg_days_to_deliver,avg_days_vs_estimate,late_delivery_rate_pct
2016-09-01,2016-09,North,not delivered,99,1,136.23,1.0,1,0,100.0,,,
2016-09-01,2016-09,South,not delivered,99,1,75.06,1.0,1,0,100.0,,,
2016-09-01,2016-09,Southeast,30+ days,5,1,143.46,1.0,1,0,100.0,55.0,36.0,100.0
2016-09-01,2016-09,Southeast,not delivered,99,1,0.0,1.0,1,0,100.0,,,
2016-10-01,2016-10,Central-West,4-7 days,2,3,606.01,3.67,1,2,33.33,7.0,-53.33,0.0
2016-10-01,2016-10,Central-West,8-14 days,3,5,587.87,3.8,1,3,20.0,9.6,-49.8,0.0
2016-10-01,2016-10,Central-West,15-30 days,4,3,798.07,5.0,0,3,0.0,19.67,-42.0,0.0
2016-10-01,2016-10,Central-West,30+ days,5,3,365.72,4.0,0,2,0.0,39.0,-19.33,0.0
2016-10-01,2016-10,Central-West,not delivered,99,4,499.74,1.5,3,0,75.0,,,
2016-10-01,2016-10,North,8-14 days,3,2,732.95,4.0,0,2,0.0,9.0,-57.0,0.0
2016-10-01,2016-10,North,30+ days,5,3,619.16,4.33,0,2,0.0,33.67,-33.33,0.0
2016-10-01,2016-10,Northeast,4-7 days,2,3,344.76,5.0,0,3,0.0,7.0,-58.0,0.0
2016-10-01,2016-10,Northeast,8-14 days,3,3,313.65,3.67,1,2,33.33,11.0,-52.67,0.0
2016-10-01,2016-10,Northeast,15-30 days,4,15,3904.45,4.73,0,15,0.0,22.0,-44.27,0.0
2016-10-01,2016-10,Northeast,30+ days,5,8,1811.02,4.13,1,7,12.5,45.13,-23.63,0.0
2016-10-01,2016-10,Northeast,not delivered,99,5,936.57,1.8,4,1,80.0,,,
2016-10-01,2016-10,South,4-7 days,2,5,1273.22,4.2,1,4,20.0,6.8,-47.6,0.0
2016-10-01,2016-10,South,8-14 days,3,14,2491.68,4.29,1,13,7.14,10.14,-44.5,0.0
2016-10-01,2016-10,South,15-30 days,4,20,2089.67,3.9,3,15,15.0,21.1,-34.75,0.0
2016-10-01,2016-10,South,30+ days,5,7,2172.87,2.86,3,3,42.86,35.57,-21.29,0.0
2016-10-01,2016-10,South,not delivered,99,8,1739.8,2.0,6,2,75.0,,,
2016-10-01,2016-10,Southeast,4-7 days,2,24,4332.84,4.46,2,21,8.33,6.83,-46.5,0.0
2016-10-01,2016-10,Southeast,8-14 days,3,57,9772.04,4.26,6,46,10.53,10.56,-43.84,0.0
2016-10-01,2016-10,Southeast,15-30 days,4,68,9340.76,3.62,17,42,25.0,21.78,-32.74,0.0
2016-10-01,2016-10,Southeast,30+ days,5,27,5638.41,2.93,13,13,48.15,40.44,-13.33,7.41
2016-10-01,2016-10,Southeast,not delivered,99,37,6437.58,1.27,35,2,94.59,,,
2016-12-01,2016-12,South,4-7 days,2,1,19.62,5.0,0,1,0.0,5.0,-22.0,0.0
2017-01-01,2017-01,Central-West,4-7 days,2,2,119.02,5.0,0,2,0.0,6.0,-37.5,0.0
2017-01-01,2017-01,Central-West,8-14 days,3,23,4911.89,4.04,4,18,17.39,11.04,-32.48,0.0
2017-01-01,2017-01,Central-West,15-30 days,4,13,3175.53,3.54,4,8,30.77,18.69,-24.62,0.0
2017-01-01,2017-01,Central-West,30+ days,5,3,649.75,3.0,1,1,33.33,53.67,8.0,66.67
2017-01-01,2017-01,Central-West,not delivered,99,2,380.9,3.0,1,1,50.0,,,
2017-01-01,2017-01,North,8-14 days,3,6,1406.04,4.83,0,6,0.0,11.33,-38.83,0.0
2017-01-01,2017-01,North,15-30 days,4,10,2217.3,3.5,3,6,30.0,19.3,-29.4,0.0
2017-01-01,2017-01,North,30+ days,5,1,125.09,2.0,1,0,100.0,45.0,-4.0,0.0
2017-01-01,2017-01,North,not delivered,99,2,1254.85,3.5,0,1,0.0,,,
2017-01-01,2017-01,Northeast,0-3 days,1,1,43.89,5.0,0,1,0.0,3.0,-46.0,0.0
2017-01-01,2017-01,Northeast,4-7 days,2,2,552.42,5.0,0,2,0.0,6.5,-41.0,0.0
2017-01-01,2017-01,Northeast,8-14 days,3,34,5698.73,4.47,2,31,5.88,11.38,-35.82,0.0
2017-01-01,2017-01,Northeast,15-30 days,4,25,5273.41,4.28,3,20,12.0,18.2,-30.28,0.0
2017-01-01,2017-01,Northeast,30+ days,5,5,731.83,1.8,4,1,80.0,62.0,16.0,80.0
2017-01-01,2017-01,Northeast,not delivered,99,5,448.63,3.4,1,2,20.0,,,
2017-01-01,2017-01,South,0-3 days,1,1,59.99,5.0,0,1,0.0,3.0,-55.0,0.0
2017-01-01,2017-01,South,4-7 days,2,14,1908.25,4.43,1,12,7.14,5.93,-33.14,0.0
2017-01-01,2017-01,South,8-14 days,3,94,14710.4,4.45,9,80,9.57,11.06,-28.77,0.0
2017-01-01,2017-01,South,15-30 days,4,27,7670.96,4.33,1,22,3.7,18.37,-24.63,0.0
2017-01-01,2017-01,South,30+ days,5,4,330.95,2.0,3,1,75.0,60.0,21.5,100.0
2017-01-01,2017-01,South,not delivered,99,10,2719.9,1.3,9,0,90.0,,,
2017-01-01,2017-01,Southeast,0-3 days,1,10,4617.33,4.9,0,10,0.0,2.2,-29.7,0.0
2017-01-01,2017-01,Southeast,4-7 days,2,134,18912.82,4.43,9,118,6.72,5.89,-31.35,0.0
2017-01-01,2017-01,Southeast,8-14 days,3,248,39486.32,4.17,28,193,11.29,10.28,-28.64,0.0
2017-01-01,2017-01,Southeast,15-30 days,4,78,11656.07,4.05,9,59,11.54,18.87,-21.55,1.28
2017-01-01,2017-01,Southeast,30+ days,5,15,3224.38,1.93,11,3,73.33,48.4,13.27,73.33
2017-01-01,2017-01,Southeast,not delivered,99,31,4901.84,1.81,24,5,77.42,,,
