state_code,region,orders,valid_orders,customers,canceled_orders,revenue,freight_revenue,avg_order_value,revenue_per_customer,freight_pct_of_revenue,avg_review_score,avg_days_to_deliver,late_delivery_rate_pct,repeat_customer_pct,latitude,longitude,pct_of_national_revenue,revenue_rank
SP,Southeast,41752,41131,40296,328,5880371.61,714589.91,142.97,145.93,12.15,4.16,8.7,4.49,3.24,-23.165617689992914,-47.05093612651655,37.37,1
RJ,Southeast,12854,12698,12381,86,2115511.89,304027.66,166.6,170.87,14.37,3.86,15.24,12.11,3.44,-22.759809688403752,-43.17570217698886,13.44,2
MG,Southeast,11631,11493,11252,64,1842729.47,269460.29,160.33,163.77,14.62,4.12,11.95,4.59,3.03,-19.917795846055096,-44.43267445911738,11.71,3
RS,South,5466,5416,5276,25,877374.65,134734.87,162.0,166.3,15.36,4.12,15.25,6.08,3.18,-29.717751694060976,-51.94559500059278,5.58,4
PR,South,5043,4980,4879,22,793145.44,117217.25,159.27,162.56,14.78,4.17,11.94,4.04,2.99,-24.80033310523309,-50.813855045382276,5.04,5
SC,South,3637,3601,3531,18,607708.75,89432.47,168.76,172.11,14.72,4.06,14.9,8.2,2.78,-27.24069676054426,-49.56308555738824,3.86,6
BA,Northeast,3378,3342,3275,16,606632.05,99753.21,181.52,185.23,16.44,3.83,19.28,12.17,2.84,-13.038238537027599,-39.46055595847376,3.86,7
DF,Central-West,2137,2117,2072,7,350431.24,50345.49,165.53,169.13,14.37,4.06,12.89,5.58,2.99,-15.810023483485482,-47.976592001362015,2.23,8
GO,Central-West,2019,1997,1950,13,340736.22,52578.77,170.62,174.74,15.43,4.03,15.53,6.49,3.28,-16.609355294546454,-49.33247708477916,2.17,9
ES,Southeast,2034,2019,1964,9,323225.23,49603.2,160.09,164.57,15.35,4.01,15.73,10.72,2.95,-20.160769142092157,-40.47564593504562,2.05,10
PE,Northeast,1651,1642,1605,5,320682.76,59154.32,195.3,199.8,18.45,3.99,18.38,9.67,2.24,-8.195646524554718,-35.769603596603396,2.04,11
CE,Northeast,1339,1325,1313,7,274787.15,48291.29,207.39,209.28,17.57,3.85,21.18,13.74,1.83,-4.3252926565317855,-38.956179362820656,1.75,12
PA,North,975,969,949,4,217480.54,38659.42,224.44,229.17,17.78,3.83,23.73,11.21,2.53,-2.453781744195404,-49.15285089421662,1.38,13
MT,Central-West,907,902,875,2,186104.35,29705.72,206.32,212.69,15.96,4.09,18.01,6.09,3.43,-14.380665453741765,-55.8021163661037,1.18,14
MA,Northeast,750,739,726,4,151149.55,31545.13,204.53,208.19,20.87,3.74,21.48,17.36,2.48,-3.564216034182136,-44.679339441253525,0.96,15
PB,Northeast,534,529,517,2,140214.49,25589.28,265.06,271.21,18.25,4.01,20.37,10.29,2.51,-7.085594113004932,-35.67351496912414,0.89,16
MS,Central-West,714,707,693,2,135687.35,19102.6,191.92,195.8,14.08,4.1,15.54,9.71,2.6,-20.728293517616585,-54.450272607042166,0.86,17
PI,Northeast,495,490,482,4,107765.47,21105.38,219.93,223.58,19.58,3.91,19.39,13.87,2.28,-5.5052496057363305,-42.58549135366852,0.68,18
RN,Northeast,485,482,474,0,101895.08,18860.1,211.4,214.97,18.51,4.07,19.22,9.28,2.32,-5.838456175517719,-35.94715976660845,0.65,19
AL,Northeast,412,411,400,1,96229.4,15914.59,234.13,240.57,16.54,3.74,24.5,21.41,3.0,-9.673303222668572,-36.055300826228546,0.61,20
SE,Northeast,351,346,341,1,73262.24,14165.3,211.74,214.85,19.34,3.79,21.42,15.18,2.93,-10.874856031444425,-37.17219746490005,0.47,21
TO,North,280,278,273,1,61103.85,11695.86,219.8,223.82,19.14,4.1,17.6,9.85,2.56,-9.722560364358309,-48.36891866876039,0.39,22
RO,North,254,247,240,3,57581.05,11430.51,233.12,239.92,19.85,4.06,19.28,2.87,4.58,-10.160362105196183,-62.832842443475094,0.37,23
AM,North,148,147,143,0,27835.73,5478.89,189.36,194.66,19.68,4.18,26.36,2.76,2.1,-3.2171183996999226,-60.081164949086826,0.18,24
AC,North,81,81,77,0,19669.7,3686.75,242.84,255.45,18.74,4.05,21.0,3.75,5.19,-9.905446865439508,-68.06894143377073,0.13,25
AP,North,68,68,67,0,16262.8,2788.5,239.16,242.73,17.15,4.18,27.18,2.99,1.49,0.053539896163025215,-51.1615558362336,0.1,26
RR,North,46,45,45,1,9948.97,2209.53,221.09,221.09,22.21,3.61,29.34,12.2,2.22,2.835642937182526,-60.6761869350313,0.06,27
