date_key,calendar_date,year_month,calendar_year,month_name,day_name,is_weekend,orders,valid_orders,canceled_orders,delivered_orders,active_customers,revenue,item_revenue,freight_revenue,units_sold,avg_order_value,cancellation_rate_pct,late_delivery_rate_pct,avg_review_score,avg_days_to_deliver,revenue_7d_avg
20160901,2016-09-01,2016-09,2016,Sep,Thursday,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,0.0
20160902,2016-09-02,2016-09,2016,Sep,Friday,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,0.0
20160903,2016-09-03,2016-09,2016,Sep,Saturday,1,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,0.0
20160904,2016-09-04,2016-09,2016,Sep,Sunday,1,1,1,0,0,1,136.23,72.89,63.34,2.0,136.23,0.0,,1.0,,34.06
20160905,2016-09-05,2016-09,2016,Sep,Monday,0,1,0,1,0,1,0.0,0.0,0.0,0.0,,100.0,,1.0,,27.25
20160906,2016-09-06,2016-09,2016,Sep,Tuesday,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,22.71
20160907,2016-09-07,2016-09,2016,Sep,Wednesday,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,19.46
20160908,2016-09-08,2016-09,2016,Sep,Thursday,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,19.46
20160909,2016-09-09,2016-09,2016,Sep,Friday,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,19.46
20160910,2016-09-10,2016-09,2016,Sep,Saturday,1,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,19.46
20160911,2016-09-11,2016-09,2016,Sep,Sunday,1,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,0.0
20160912,2016-09-12,2016-09,2016,Sep,Monday,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,0.0
20160913,2016-09-13,2016-09,2016,Sep,Tuesday,0,1,0,1,0,1,0.0,0.0,0.0,0.0,,100.0,,1.0,,0.0
20160914,2016-09-14,2016-09,2016,Sep,Wednesday,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,0.0
20160915,2016-09-15,2016-09,2016,Sep,Thursday,0,1,1,0,1,1,143.46,134.97,8.49,3.0,143.46,0.0,100.0,1.0,55.0,20.49
