month_start_date,year_month,orders,valid_orders,canceled_orders,active_customers,new_customers,returning_customers,units_sold,revenue,freight_revenue,new_customer_revenue,returning_customer_revenue,avg_order_value,avg_units_per_order,cancellation_rate_pct,returning_revenue_share_pct,avg_review_score,avg_days_to_deliver,prev_month_revenue,revenue_mom_pct
2016-09-01,2016-09,4,2,2,4,4,0,5.0,279.69,71.83,279.69,0.0,139.85,2.5,50.0,0.0,1.0,55.0,,
2016-10-01,2016-10,324,293,24,321,321,0,342.0,51354.52,6847.22,51354.52,0.0,175.27,1.17,7.41,0.0,3.52,19.61,279.69,18261.23
2016-12-01,2016-12,1,1,0,1,1,0,1.0,19.62,8.72,19.62,0.0,19.62,1.0,0.0,0.0,5.0,5.0,51354.52,-99.96
2017-01-01,2017-01,800,787,3,765,764,1,953.0,136943.46,16845.19,136923.84,19.62,174.01,1.21,0.38,0.01,4.05,12.75,19.62,697878.9
2017-02-01,2017-02,1780,1718,17,1755,1752,3,1936.0,283561.69,38602.34,283390.86,170.83,165.05,1.13,0.96,0.06,4.0,13.3,136943.46,107.06
2017-03-01,2017-03,2682,2617,33,2642,2636,6,2975.0,425617.96,57276.64,424967.14,650.82,162.64,1.14,1.23,0.15,4.06,13.04,283561.69,50.1
2017-04-01,2017-04,2404,2377,18,2372,2352,20,2660.0,405848.61,52005.63,403282.01,2566.6,170.74,1.12,0.75,0.63,4.03,15.02,425617.96,-4.64
2017-05-01,2017-05,3700,3640,29,3625,3596,29,4106.0,582710.83,79551.64,577671.73,5039.1,160.09,1.13,0.78,0.86,4.12,11.43,405848.61,43.58
2017-06-01,2017-06,3245,3205,16,3180,3139,41,3571.0,499652.24,69735.63,493622.59,6029.65,155.9,1.11,0.49,1.21,4.13,12.01,582710.83,-14.25
2017-07-01,2017-07,4026,3946,28,3947,3894,53,4493.0,578753.73,86466.43,568717.78,10035.95,146.67,1.14,0.7,1.73,4.16,11.49,499652.24,15.83
2017-08-01,2017-08,4331,4272,27,4246,4184,62,4882.0,661903.52,93657.73,650609.85,11293.67,154.94,1.14,0.62,1.71,4.23,11.02,578753.73,14.37
2017-09-01,2017-09,4285,4227,20,4212,4130,82,4815.0,717102.72,95686.81,704800.6,12302.12,169.65,1.14,0.47,1.72,4.17,11.72,661903.52,8.34
2017-10-01,2017-10,4631,4547,26,4561,4470,91,5300.0,764756.03,104576.41,750877.81,13878.22,168.19,1.17,0.56,1.81,4.11,11.73,717102.72,6.65
2017-11-01,2017-11,7544,7421,37,7430,7304,126,8626.0,1172191.68,168329.54,1154076.73,18114.95,157.96,1.16,0.49,1.55,3.89,15.07,764756.03,53.28
2017-12-01,2017-12,5673,5618,11,5603,5487,116,6300.0,861526.77,119342.98,842349.2,19177.57,153.35,1.12,0.19,2.23,4.0,15.31,1172191.68,-26.5
2018-01-01,2018-01,7269,7187,34,7166,7025,141,8173.0,1101920.01,156463.72,1079783.83,22136.18,153.32,1.14,0.47,2.01,4.02,14.01,861526.77,27.9
2018-02-01,2018-02,6728,6624,73,6569,6451,118,7597.0,979486.16,141590.73,963226.12,16260.04,147.87,1.15,1.09,1.66,3.81,16.88,1101920.01,-11.11
2018-03-01,2018-03,7211,7168,26,7115,6965,150,8195.0,1152656.99,171605.93,1131873.92,20783.07,160.81,1.14,0.36,1.8,3.73,16.24,979486.16,17.68
2018-04-01,2018-04,6939,6919,15,6882,6711,171,7957.0,1156248.89,162655.91,1129539.94,26708.95,167.11,1.15,0.22,2.31,4.15,11.42,1152656.99,0.31
2018-05-01,2018-05,6873,6833,24,6814,6622,192,7898.0,1145686.46,152814.71,1116607.48,29078.98,167.67,1.16,0.35,2.54,4.18,11.34,1156248.89,-0.91
2018-06-01,2018-06,6167,6145,18,6128,5940,188,7060.0,1020381.9,157116.37,989817.08,30564.82,166.05,1.15,0.29,3.0,4.27,9.16,1145686.46,-10.94
2018-07-01,2018-07,6292,6233,41,6230,6071,159,7039.0,1039783.58,161739.31,1014931.28,24852.3,166.82,1.13,0.65,2.39,4.25,8.89,1020381.9,1.9
2018-08-01,2018-08,6512,6421,84,6460,6271,189,7216.0,996973.51,148113.41,973664.48,23309.03,155.27,1.12,1.29,2.34,4.25,7.66,1039783.58,-4.12
2018-09-01,2018-09,16,1,15,14,5,9,1.0,166.46,21.46,0.0,166.46,166.46,1.0,93.75,100.0,1.75,,996973.51,-99.98
2018-10-01,2018-10,4,0,4,4,1,3,0.0,0.0,0.0,0.0,0.0,,,100.0,,2.25,,166.46,-100.0
