month_start_date,year_month,stage_order,stage,orders,top_of_funnel,dropped_from_prev_stage,pct_of_top_of_funnel,stage_conversion_pct
2016-09-01,2016-09,1,Purchased,4,4,0,100.0,
2016-09-01,2016-09,2,Payment approved,4,4,0,100.0,100.0
2016-09-01,2016-09,3,Handed to carrier,2,4,2,50.0,50.0
2016-09-01,2016-09,4,Delivered to customer,1,4,1,25.0,50.0
2016-09-01,2016-09,5,Delivered on time,0,4,1,0.0,0.0
2016-10-01,2016-10,1,Purchased,324,324,0,100.0,
2016-10-01,2016-10,2,Payment approved,318,324,6,98.15,98.15
2016-10-01,2016-10,3,Handed to carrier,278,324,40,85.8,87.42
2016-10-01,2016-10,4,Delivered to customer,270,324,8,83.33,97.12
2016-10-01,2016-10,5,Delivered on time,268,324,2,82.72,99.26
2016-12-01,2016-12,1,Purchased,1,1,0,100.0,
2016-12-01,2016-12,2,Payment approved,1,1,0,100.0,100.0
2016-12-01,2016-12,3,Handed to carrier,1,1,0,100.0,100.0
2016-12-01,2016-12,4,Delivered to customer,1,1,0,100.0,100.0
2016-12-01,2016-12,5,Delivered on time,1,1,0,100.0,100.0
2017-01-01,2017-01,1,Purchased,800,800,0,100.0,
2017-01-01,2017-01,2,Payment approved,797,800,3,99.63,99.63
2017-01-01,2017-01,3,Handed to carrier,766,800,31,95.75,96.11
2017-01-01,2017-01,4,Delivered to customer,750,800,16,93.75,97.91
2017-01-01,2017-01,5,Delivered on time,728,800,22,91.0,97.07
2017-02-01,2017-02,1,Purchased,1780,1780,0,100.0,
2017-02-01,2017-02,2,Payment approved,1766,1780,14,99.21,99.21
2017-02-01,2017-02,3,Handed to carrier,1674,1780,92,94.04,94.79
2017-02-01,2017-02,4,Delivered to customer,1653,1780,21,92.87,98.75
2017-02-01,2017-02,5,Delivered on time,1604,1780,49,90.11,97.04
2017-03-01,2017-03,1,Purchased,2682,2682,0,100.0,
2017-03-01,2017-03,2,Payment approved,2680,2682,2,99.93,99.93
2017-03-01,2017-03,3,Handed to carrier,2591,2682,89,96.61,96.68
2017-03-01,2017-03,4,Delivered to customer,2546,2682,45,94.93,98.26
2017-03-01,2017-03,5,Delivered on time,2430,2682,116,90.6,95.44
2017-04-01,2017-04,1,Purchased,2404,2404,0,100.0,
2017-04-01,2017-04,2,Payment approved,2400,2404,4,99.83,99.83
2017-04-01,2017-04,3,Handed to carrier,2352,2404,48,97.84,98.0
2017-04-01,2017-04,4,Delivered to customer,2303,2404,49,95.8,97.92
2017-04-01,2017-04,5,Delivered on time,2152,2404,151,89.52,93.44
2017-05-01,2017-05,1,Purchased,3700,3700,0,100.0,
2017-05-01,2017-05,2,Payment approved,3691,3700,9,99.76,99.76
2017-05-01,2017-05,3,Handed to carrier,3600,3700,91,97.3,97.53
2017-05-01,2017-05,4,Delivered to customer,3545,3700,55,95.81,98.47
2017-05-01,2017-05,5,Delivered on time,3439,3700,106,92.95,97.01
2017-06-01,2017-06,1,Purchased,3245,3245,0,100.0,
2017-06-01,2017-06,2,Payment approved,3241,3245,4,99.88,99.88
2017-06-01,2017-06,3,Handed to carrier,3182,3245,59,98.06,98.18
2017-06-01,2017-06,4,Delivered to customer,3135,3245,47,96.61,98.52
2017-06-01,2017-06,5,Delivered on time,3040,3245,95,93.68,96.97
2017-07-01,2017-07,1,Purchased,4026,4026,0,100.0,
2017-07-01,2017-07,2,Payment approved,4021,4026,5,99.88,99.88
2017-07-01,2017-07,3,Handed to carrier,3928,4026,93,97.57,97.69
2017-07-01,2017-07,4,Delivered to customer,3872,4026,56,96.17,98.57
2017-07-01,2017-07,5,Delivered on time,3764,4026,108,93.49,97.21
2017-08-01,2017-08,1,Purchased,4331,4331,0,100.0,
2017-08-01,2017-08,2,Payment approved,4325,4331,6,99.86,99.86
2017-08-01,2017-08,3,Handed to carrier,4234,4331,91,97.76,97.9
2017-08-01,2017-08,4,Delivered to customer,4193,4331,41,96.81,99.03
2017-08-01,2017-08,5,Delivered on time,4071,4331,122,94.0,97.09
2017-09-01,2017-09,1,Purchased,4285,4285,0,100.0,
2017-09-01,2017-09,2,Payment approved,4281,4285,4,99.91,99.91
2017-09-01,2017-09,3,Handed to carrier,4187,4285,94,97.71,97.8
2017-09-01,2017-09,4,Delivered to customer,4150,4285,37,96.85,99.12
2017-09-01,2017-09,5,Delivered on time,3968,4285,182,92.6,95.61
2017-10-01,2017-10,1,Purchased,4631,4631,0,100.0,
2017-10-01,2017-10,2,Payment approved,4626,4631,5,99.89,99.89
2017-10-01,2017-10,3,Handed to carrier,4511,4631,115,97.41,97.51
2017-10-01,2017-10,4,Delivered to customer,4478,4631,33,96.7,99.27
2017-10-01,2017-10,5,Delivered on time,4291,4631,187,92.66,95.82
2017-11-01,2017-11,1,Purchased,7544,7544,0,100.0,
2017-11-01,2017-11,2,Payment approved,7535,7544,9,99.88,99.88
2017-11-01,2017-11,3,Handed to carrier,7361,7544,174,97.57,97.69
2017-11-01,2017-11,4,Delivered to customer,7288,7544,73,96.61,99.01
2017-11-01,2017-11,5,Delivered on time,6384,7544,904,84.62,87.6
2017-12-01,2017-12,1,Purchased,5673,5673,0,100.0,
2017-12-01,2017-12,2,Payment approved,5666,5673,7,99.88,99.88
2017-12-01,2017-12,3,Handed to carrier,5571,5673,95,98.2,98.32
2017-12-01,2017-12,4,Delivered to customer,5513,5673,58,97.18,98.96
2017-12-01,2017-12,5,Delivered on time,5102,5673,411,89.93,92.54
2018-01-01,2018-01,1,Purchased,7269,7269,0,100.0,
2018-01-01,2018-01,2,Payment approved,7268,7269,1,99.99,99.99
2018-01-01,2018-01,3,Handed to carrier,7169,7269,99,98.62,98.64
2018-01-01,2018-01,4,Delivered to customer,7069,7269,100,97.25,98.61
2018-01-01,2018-01,5,Delivered on time,6666,7269,403,91.7,94.3
2018-02-01,2018-02,1,Purchased,6728,6728,0,100.0,
2018-02-01,2018-02,2,Payment approved,6724,6728,4,99.94,99.94
2018-02-01,2018-02,3,Handed to carrier,6653,6728,71,98.89,98.94
2018-02-01,2018-02,4,Delivered to customer,6556,6728,97,97.44,98.54
2018-02-01,2018-02,5,Delivered on time,5629,6728,927,83.67,85.86
2018-03-01,2018-03,1,Purchased,7211,7211,0,100.0,
2018-03-01,2018-03,2,Payment approved,7208,7211,3,99.96,99.96
2018-03-01,2018-03,3,Handed to carrier,7138,7211,70,98.99,99.03
2018-03-01,2018-03,4,Delivered to customer,7003,7211,135,97.12,98.11
2018-03-01,2018-03,5,Delivered on time,5675,7211,1328,78.7,81.04
2018-04-01,2018-04,1,Purchased,6939,6939,0,100.0,
2018-04-01,2018-04,2,Payment approved,6939,6939,0,100.0,100.0
2018-04-01,2018-04,3,Handed to carrier,6897,6939,42,99.39,99.39
2018-04-01,2018-04,4,Delivered to customer,6798,6939,99,97.97,98.56
2018-04-01,2018-04,5,Delivered on time,6492,6939,306,93.56,95.5
2018-05-01,2018-05,1,Purchased,6873,6873,0,100.0,
2018-05-01,2018-05,2,Payment approved,6872,6873,1,99.99,99.99
2018-05-01,2018-05,3,Handed to carrier,6803,6873,69,98.98,99.0
2018-05-01,2018-05,4,Delivered to customer,6749,6873,54,98.2,99.21
2018-05-01,2018-05,5,Delivered on time,6306,6873,443,91.75,93.44
2018-06-01,2018-06,1,Purchased,6167,6167,0,100.0,
2018-06-01,2018-06,2,Payment approved,6167,6167,0,100.0,100.0
2018-06-01,2018-06,3,Handed to carrier,6142,6167,25,99.59,99.59
2018-06-01,2018-06,4,Delivered to customer,6096,6167,46,98.85,99.25
