month_start_date,year_month,payment_type,instalment_band,payment_rows,orders,customers,payment_value,avg_payment_value,avg_installments,pct_of_month_value
2016-09-01,2016-09,credit_card,single payment,1,1,1,136.23,136.23,1.0,100.0
2016-10-01,2016-10,boleto,single payment,60,60,60,9226.91,153.78,1.0,17.86
2016-10-01,2016-10,credit_card,2-3 instalments,64,64,64,8350.59,130.48,2.58,16.17
2016-10-01,2016-10,credit_card,4-6 instalments,55,55,55,9831.6,178.76,4.87,19.03
2016-10-01,2016-10,credit_card,7-12 instalments,56,56,55,18634.85,332.77,9.2,36.07
2016-10-01,2016-10,credit_card,single payment,52,51,51,4554.77,87.59,1.0,8.82
2016-10-01,2016-10,debit_card,single payment,2,2,2,241.73,120.87,1.0,0.47
2016-10-01,2016-10,voucher,single payment,22,10,10,817.08,37.14,1.0,1.58
2016-12-01,2016-12,credit_card,single payment,1,1,1,19.62,19.62,1.0,100.0
2017-01-01,2017-01,boleto,single payment,193,193,176,23685.11,122.72,1.0,17.29
2017-01-01,2017-01,credit_card,2-3 instalments,137,136,135,20835.0,152.08,2.47,15.21
2017-01-01,2017-01,credit_card,4-6 instalments,121,121,118,19707.02,162.87,4.83,14.38
2017-01-01,2017-01,credit_card,7-12 instalments,119,119,115,45639.47,383.52,8.88,33.31
2017-01-01,2017-01,credit_card,single payment,197,197,191,22373.35,113.57,1.0,16.33
2017-01-01,2017-01,debit_card,single payment,9,9,9,743.53,82.61,1.0,0.54
2017-01-01,2017-01,voucher,single payment,60,32,31,4023.28,67.05,1.0,2.94
2017-02-01,2017-02,boleto,single payment,383,383,381,55844.85,145.81,1.0,19.69
2017-02-01,2017-02,credit_card,12+ instalments,1,1,1,173.29,173.29,17.0,0.06
2017-02-01,2017-02,credit_card,2-3 instalments,350,348,348,46092.23,131.69,2.47,16.25
2017-02-01,2017-02,credit_card,4-6 instalments,239,238,236,50133.13,209.76,4.78,17.68
2017-02-01,2017-02,credit_card,7-12 instalments,220,219,214,76421.84,347.37,8.87,26.94
2017-02-01,2017-02,credit_card,single payment,499,497,488,47911.93,96.02,1.0,16.89
2017-02-01,2017-02,debit_card,single payment,13,13,13,1510.32,116.18,1.0,0.53
2017-02-01,2017-02,voucher,single payment,116,67,66,5534.35,47.71,1.0,1.95
2017-03-01,2017-03,boleto,single payment,582,582,572,79110.63,135.93,1.0,18.59
2017-03-01,2017-03,credit_card,12+ instalments,5,5,5,1031.6,206.32,14.8,0.24
2017-03-01,2017-03,credit_card,2-3 instalments,545,545,536,69216.77,127.0,2.48,16.26
2017-03-01,2017-03,credit_card,4-6 instalments,416,414,410,70036.63,168.36,4.85,16.45
2017-03-01,2017-03,credit_card,7-12 instalments,340,338,334,127893.64,376.16,8.88,30.05
2017-03-01,2017-03,credit_card,single payment,653,651,648,65235.48,99.9,1.0,15.33
2017-03-01,2017-03,debit_card,single payment,30,30,30,3510.32,117.01,1.0,0.82
2017-03-01,2017-03,voucher,single payment,200,123,120,9621.33,48.11,1.0,2.26
2017-04-01,2017-04,boleto,single payment,488,488,483,76633.41,157.04,1.0,18.88
2017-04-01,2017-04,credit_card,12+ instalments,1,1,1,160.99,160.99,15.0,0.04
2017-04-01,2017-04,credit_card,2-3 instalments,529,523,516,63808.43,120.62,2.48,15.72
2017-04-01,2017-04,credit_card,4-6 instalments,402,401,398,67313.33,167.45,4.85,16.58
2017-04-01,2017-04,credit_card,7-12 instalments,358,356,349,133104.07,371.8,8.93,32.79
2017-04-01,2017-04,credit_card,single payment,538,538,534,50644.06,94.13,1.0,12.47
2017-04-01,2017-04,debit_card,single payment,26,26,25,2745.53,105.6,1.0,0.68
2017-04-01,2017-04,voucher,single payment,201,114,112,11578.56,57.6,1.0,2.85
2017-05-01,2017-05,boleto,single payment,758,758,750,126578.03,166.99,1.0,21.71
2017-05-01,2017-05,credit_card,12+ instalments,4,4,3,1415.21,353.8,15.0,0.24
2017-05-01,2017-05,credit_card,2-3 instalments,836,831,826,95511.82,114.25,2.49,16.38
2017-05-01,2017-05,credit_card,4-6 instalments,707,704,696,112395.55,158.98,4.88,19.28
2017-05-01,2017-05,credit_card,7-12 instalments,567,564,551,166285.0,293.27,9.13,28.53
2017-05-01,2017-05,credit_card,single payment,693,692,684,61583.92,88.87,1.0,10.56
2017-05-01,2017-05,debit_card,single payment,30,30,29,3023.41,100.78,1.0,0.52
2017-05-01,2017-05,voucher,single payment,288,170,165,16133.22,56.02,1.0,2.77
2017-06-01,2017-06,boleto,single payment,702,702,687,107052.57,152.5,1.0,21.42
2017-06-01,2017-06,credit_card,12+ instalments,2,2,2,649.66,324.83,15.5,0.13
2017-06-01,2017-06,credit_card,2-3 instalments,742,741,732,81554.95,109.91,2.49,16.32
2017-06-01,2017-06,credit_card,4-6 instalments,620,619,614,92604.31,149.36,4.84,18.53
2017-06-01,2017-06,credit_card,7-12 instalments,463,462,453,146686.95,316.82,9.0,29.35
2017-06-01,2017-06,credit_card,single payment,601,600,594,56111.7,93.36,1.0,11.23
2017-06-01,2017-06,debit_card,single payment,27,27,27,2424.17,89.78,1.0,0.49
2017-06-01,2017-06,voucher,single payment,236,141,137,12743.16,54.0,1.0,2.55
2017-07-01,2017-07,boleto,single payment,829,829,817,114943.96,138.65,1.0,19.86
2017-07-01,2017-07,credit_card,12+ instalments,4,4,3,1732.18,433.05,16.25,0.3
2017-07-01,2017-07,credit_card,2-3 instalments,961,958,944,112105.03,116.65,2.48,19.37
2017-07-01,2017-07,credit_card,4-6 instalments,772,771,759,114033.03,147.71,4.79,19.7
2017-07-01,2017-07,credit_card,7-12 instalments,559,558,552,144452.36,258.41,9.19,24.95
2017-07-01,2017-07,credit_card,single payment,728,726,720,71921.6,98.79,1.0,12.42
2017-07-01,2017-07,debit_card,single payment,22,22,22,2345.03,106.59,1.0,0.41
2017-07-01,2017-07,voucher,single payment,349,199,195,17325.39,49.64,1.0,2.99
2017-08-01,2017-08,boleto,single payment,920,920,914,131113.02,142.51,1.0,19.8
2017-08-01,2017-08,credit_card,12+ instalments,9,9,9,8398.09,933.12,17.22,1.27
2017-08-01,2017-08,credit_card,2-3 instalments,992,990,972,119455.16,120.42,2.51,18.04
2017-08-01,2017-08,credit_card,4-6 instalments,787,785,770,136760.8,173.77,4.76,20.66
2017-08-01,2017-08,credit_card,7-12 instalments,584,582,569,167162.75,286.24,8.95,25.25
2017-08-01,2017-08,credit_card,single payment,872,871,859,81381.34,93.33,1.0,12.29
