category,revenue,pct_of_revenue,cumulative_pct,freight_pct,avg_review_score,units
health_beauty,1437666.0,9.14,9.14,12.66,4.12,9634
watches_gifts,1298292.0,8.25,17.39,7.71,4.0,5970
bed_bath_table,1240386.0,7.88,25.27,16.48,3.87,11097
sports_leisure,1147245.0,7.29,32.56,14.6,4.09,8590
computers_accessories,1050942.0,6.68,39.24,13.95,3.92,7781
furniture_decor,899626.0,5.72,44.96,19.14,3.89,8298
housewares,772035.0,4.91,49.86,18.81,4.04,6915
cool_stuff,704086.0,4.47,54.34,11.83,4.13,3779
auto,678607.0,4.31,58.65,13.56,4.04,4204
garden_tools,579525.0,3.68,62.33,17.0,4.03,4328
toys,556783.0,3.54,65.87,13.82,4.14,4083
baby,478320.0,3.04,68.91,14.22,3.99,3043
perfumery,450580.0,2.86,71.77,11.98,4.16,3402
telephony,393306.0,2.5,74.27,18.04,3.93,4527
office_furniture,342073.0,2.17,76.45,20.02,3.48,1690
