state_code,region,revenue,pct_of_revenue,avg_order_value,avg_days_to_deliver,avg_review_score,late_delivery_rate_pct,customers,latitude,longitude
SP,Southeast,5880372.0,37.37,142.97,8.7,4.16,4.49,40296,-23.165617689992914,-47.05093612651655
RJ,Southeast,2115512.0,13.44,166.6,15.24,3.86,12.11,12381,-22.759809688403752,-43.17570217698886
MG,Southeast,1842729.0,11.71,160.33,11.95,4.12,4.59,11252,-19.917795846055096,-44.43267445911738
RS,South,877375.0,5.58,162.0,15.25,4.12,6.08,5276,-29.717751694060976,-51.94559500059278
PR,South,793145.0,5.04,159.27,11.94,4.17,4.04,4879,-24.80033310523309,-50.813855045382276
SC,South,607709.0,3.86,168.76,14.9,4.06,8.2,3531,-27.24069676054426,-49.56308555738824
BA,Northeast,606632.0,3.86,181.52,19.28,3.83,12.17,3275,-13.038238537027599,-39.46055595847376
DF,Central-West,350431.0,2.23,165.53,12.89,4.06,5.58,2072,-15.810023483485482,-47.976592001362015
GO,Central-West,340736.0,2.17,170.62,15.53,4.03,6.49,1950,-16.609355294546454,-49.33247708477916
ES,Southeast,323225.0,2.05,160.09,15.73,4.01,10.72,1964,-20.160769142092157,-40.47564593504562
PE,Northeast,320683.0,2.04,195.3,18.38,3.99,9.67,1605,-8.195646524554718,-35.769603596603396
CE,Northeast,274787.0,1.75,207.39,21.18,3.85,13.74,1313,-4.3252926565317855,-38.956179362820656
PA,North,217481.0,1.38,224.44,23.73,3.83,11.21,949,-2.453781744195404,-49.15285089421662
MT,Central-West,186104.0,1.18,206.32,18.01,4.09,6.09,875,-14.380665453741765,-55.8021163661037
MA,Northeast,151150.0,0.96,204.53,21.48,3.74,17.36,726,-3.564216034182136,-44.679339441253525
PB,Northeast,140214.0,0.89,265.06,20.37,4.01,10.29,517,-7.085594113004932,-35.67351496912414
MS,Central-West,135687.0,0.86,191.92,15.54,4.1,9.71,693,-20.728293517616585,-54.450272607042166
PI,Northeast,107765.0,0.68,219.93,19.39,3.91,13.87,482,-5.5052496057363305,-42.58549135366852
RN,Northeast,101895.0,0.65,211.4,19.22,4.07,9.28,474,-5.838456175517719,-35.94715976660845
AL,Northeast,96229.0,0.61,234.13,24.5,3.74,21.41,400,-9.673303222668572,-36.055300826228546
SE,Northeast,73262.0,0.47,211.74,21.42,3.79,15.18,341,-10.874856031444425,-37.17219746490005
TO,North,61104.0,0.39,219.8,17.6,4.1,9.85,273,-9.722560364358309,-48.36891866876039
RO,North,57581.0,0.37,233.12,19.28,4.06,2.87,240,-10.160362105196183,-62.832842443475094
AM,North,27836.0,0.18,189.36,26.36,4.18,2.76,143,-3.2171183996999226,-60.081164949086826
AC,North,19670.0,0.13,242.84,21.0,4.05,3.75,77,-9.905446865439508,-68.06894143377073
AP,North,16263.0,0.1,239.16,27.18,4.18,2.99,67,0.053539896163025215,-51.1615558362336
RR,North,9949.0,0.06,221.09,29.34,3.61,12.2,45,2.835642937182526,-60.6761869350313
