year_month,revenue,orders,avg_order_value,new_customers,avg_review_score
2016-10,51355.0,293,175.0,321,3.52
2017-01,136943.0,787,174.0,764,4.05
2017-02,283562.0,1718,165.0,1752,4.0
2017-03,425618.0,2617,163.0,2636,4.06
2017-04,405849.0,2377,171.0,2352,4.03
2017-05,582711.0,3640,160.0,3596,4.12
2017-06,499652.0,3205,156.0,3139,4.13
2017-07,578754.0,3946,147.0,3894,4.16
2017-08,661904.0,4272,155.0,4184,4.23
2017-09,717103.0,4227,170.0,4130,4.17
2017-10,764756.0,4547,168.0,4470,4.11
2017-11,1172192.0,7421,158.0,7304,3.89
2017-12,861527.0,5618,153.0,5487,4.0
2018-01,1101920.0,7187,153.0,7025,4.02
2018-02,979486.0,6624,148.0,6451,3.81
2018-03,1152657.0,7168,161.0,6965,3.73
2018-04,1156249.0,6919,167.0,6711,4.15
2018-05,1145686.0,6833,168.0,6622,4.18
2018-06,1020382.0,6145,166.0,5940,4.27
2018-07,1039784.0,6233,167.0,6071,4.25
2018-08,996974.0,6421,155.0,6271,4.25
